Rank,Name,Industry,Revenue,Profit,Employees,Headquarters
1,Walmart,Retail,"$611,289 ","$11,680.00","2,100,000",United States
2,Saudi Aramco,Oil and gas,"$603,651 ","$159,069.00","70,496",Saudi Arabia
3,Amazon,Retail,"$574,785 ","$30,425.00","1,525,000",United States
4,State Grid Corporation of China,Electricity,"$530,009 ","$8,192.00","870,287",China
5,Vitol,Commodities,"$505,000 ","$15,000.00","1,560",Switzerland
6,China National Petroleum Corporation,Oil and gas,"$483,019 ","$21,080.00","1,087,049",China
7,China Petrochemical Corporation,Oil and gas,"$471,154 ","$9,657.00","527,487",China
8,ExxonMobil,Oil and gas,"$413,680 ","$55,740.00","63,000",United States
9,Apple,Electronics,"$394,328 ","$99,803.00","164,000",United States
10,Shell,Oil and gas,"$386,201 ","$20,120.00","93,000",United Kingdom
11,UnitedHealth Group,Healthcare,"$324,162 ","$20,120.00","400,000",United States
12,CVS Health,Healthcare,"$322,467 ","$4,149.00","259,500",United States
13,Trafigura,Commodities,"$318,476 ","$6,994.00","12,347",Singapore
14,China State Construction Engineering,Construction,"$305,885 ","$4,234.00","382,492",China
15,Berkshire Hathaway,Financials,"$302,089 ","$22,819.00","383,000",United States
16,Volkswagen Group,Automotive,"$293,685 ","$15,233.00","675,805",Germany
17,Uniper,Electricity,"$288,309 ","$19,961.00","7,008",Germany
18,Alphabet,Information technology,"$282,836 ","$59,972.00","190,234",United States
19,McKesson,Healthcare,"$276,711 ","$3,560.00","48,000",United States
20,Toyota,Automotive,"$274,491 ","$18,110.00","375,235",Japan
21,TotalEnergies,Oil and gas,"$263,310 ","$20,526.00","101,279",France
22,Glencore,Commodities,"$255,984 ","$17,320.00","81,284",Switzerland
23,BP,Oil and gas,"$248,891 ","$2,487.00","67,600",United Kingdom
24,Chevron,Oil and gas,"$246,252 ","$35,465.00","43,846",United States
25,Cencora,Healthcare,"$238,587 ","$1,699.00","41,500",United States
26,Samsung Electronics,Electronics,"$234,129 ","$42,398.00","270,372",South Korea
27,Costco,Retail,"$226,954 ","$5,844.00","304,000",United States
28,Foxconn,Electronics,"$222,535 ","$4,751.00","767,062",Taiwan
29,Industrial and Commercial Bank of China,Financials,"$214,766 ","$53,589.00","427,587",China
30,Microsoft,Information technology,"$211,915 ","$73,307.00","221,000",United States
31,China Construction Bank,Financials,"$202,753 ","$48,145.00","376,682",China
32,Stellantis,Automotive,"$188,888 ","$17,669.00","272,367",Netherlands
33,Agricultural Bank of China,Financials,"$187,061 ","$38,524.00","452,258",China
34,Ping An Insurance,Financials,"$181,566 ","$12,454.00","344,223",China
35,Cardinal Health,Healthcare,"$181,364 ",$933.00,"46,035",United States
36,Cigna,Healthcare,"$180,516 ","$6,668.00","70,231",United States
37,Marathon Petroleum,Oil and gas,"$180,012 ","$14,516.00","17,800",United States
38,Phillips 66,Oil and gas,"$175,702 ","$11,024.00","13,000",United States
39,Sinochem,Chemicals,"$173,834 ",$1.00,"220,760",China
40,China Railway Engineering Corporation,Construction,"$171,669 ","$2,035.00","314,792",China
41,Valero Energy,Oil and gas,"$171,189 ","$11,528.00","9,743",United States
42,Gazprom,Oil and gas,"$167,832 ","$17,641.00","468,000",Russia
43,Cargill,Conglomerate,"$165,000 ",unkown,"155,000",United States
44,China National Offshore Oil Corporation,Oil and gas,"$164,762 ","$16,988.00","81,775",China
45,China Railway Construction Corporation,Construction,"$163,037 ","$1,800.00","342,098",China
46,Baowu,Steel,"$161,698 ","$2,493.00","245,675",China
47,Schwarz Gruppe,Retail,"$159,800 ",unkown,"575,000",Germany
48,Mitsubishi Group,Conglomerate,"$159,371 ","$8,723.00","79,706",Japan
49,Ford Motor Company,Automotive,"$158,057 ","$1,981.00","173,000",United States
50,Mercedes-Benz Group,Automotive,"$157,403 ","$15,252.00","168,797",Germany
